관할구역,보호센터명,전화번호,보호센터주소
경상남도 김해시,누리동물병원,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동)
강원도 정선군,다나동물병원,033-563-6563,강원도 정선군 정선읍 비봉로 46
충청북도 단양군,단양군유기동물보호소,010-3822-4351,충청북도 단양군 매포읍 우덕리 910번지
전라남도 담양군,담양군 동물보호 센터,010-3604-1338,전라남도 담양군 용면 시암골로 280-57 (용면) :용면 두장리 21번지
대구광역시 서구,대구수의사회(아이펫),053-573-1175,대구광역시 서구 서대구로 64 (평리동)
대구광역시 동구,대구시수의사회,053-764-3708,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층
대구광역시 서구,대구시수의사회(더난),053-552-0075,대구광역시 서구 국채보상로 176 (중리동)
대구광역시 서구,대구시수의사회(더펫),070-4293-0622,대구광역시 서구 서대구로 361 (비산동) 2층
대구광역시 중구,대구시수의사회(동인),070-4466-1575,대구광역시 중구 동인동4가 국채보상로 724
대구광역시 서구,대구시수의사회(보경),053-559-9020,대구광역시 서구 달서로 165 (비산동)
대구광역시 중구,대구시수의사회(삼덕),053-426-1731,대구광역시 중구 삼덕동1가 달구벌대로 2145
대구광역시 서구,대구시수의사회(삼성),053-556-8575,대구광역시 서구 서대구로 24 (내당동)
대구광역시 중구,대구시수의사회(원),053-255-8275,대구광역시 중구 동덕로8길 2 (대봉동)
대전광역시 동구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터
대전광역시 중구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터
대전광역시 서구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터
대전광역시 유성구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터
대전광역시 대덕구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터
서울특별시,동길사,026-4060-1744,서울특별시 동대문구 왕산로43나길 26 (청량리동) 1층
서울특별시,동물구조119,02-6337-0119,"서울특별시 영등포구 영중로8길 6 (영등포동3가, 성남빌딩) 비동 530호"
부산광역시 부산진구,동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동)
서울특별시,동물보호단체 다솜,02-6406-0226,서울특별시 도봉구 방학로 119 (방학동) 2층
대구광역시 달성군,동인동물병원,053-424-4258,대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할
강원도 동해시,동해시유기동물보호소,033-522-2990,"강원도 동해시 대동로 159-13 (송정동, 동해시유기동물보호소)"
서울특별시 강동구,둔촌동물병원,02-474-5100,서울특별시 강동구 양재대로 1385 (성내동) 둔촌동물병원
경기도 파주시,라임동물병원,031-8071-2060,경기도 파주시 순못길 6-18 (다율동) 라임동물병원
경기도 하남시,러브펫동물병원,031-791-5775,경기도 하남시 신평로 58 (신장동) 1층
서울특별시 관악구,러브펫종합동물병원,02-837-8875,서울특별시 관악구 남부순환로 1429 (신림동)
경기도 파주시,로뎀동물병원,031-952-7576,"경기도 파주시 문산읍 방촌로 1636 (문산읍, 강산설렁탕)"
울산광역시 남구,리틀쥬동물의료원,052-268-8884,울산광역시 남구 봉월로 104 (신정동)
경상남도 창원시 마산합포회원구,마산유기동물보호소,055-225-5481,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19
서울특별시 마포구,마포구청,02-3153-8542,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청) 8층 지역경제과"
서울특별시 마포구,망원동물병원,02-332-0175,"서울특별시 마포구 월드컵로 65 (망원동, 망원 양경회관)"
전라남도 목포시,목포시유기동물보호소,010-9678-9966,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍)
전라남도 무안군,무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123
경기도 파주시,문산동물병원,031-953-7570,경기도 파주시 문산읍 문향로 35 문산동물병원
울산광역시 남구,미래펫동물병원,052-273-5911,울산광역시 남구 중앙로 218-1 (신정동)
경기도 파주시,미엘동물병원,031-935-5009,경기도 파주시 청석로 264 (동패동) 2층 201호 거북목프라자
경상남도 밀양시,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍)
전라북도 임실군,박영재동물병원,063-284-7774,전라북도 전주시 완산구 전주천서로 111 (서서학동) 박영재 동물병원
서울특별시 마포구,박창석동물병원,02-6405-7582,서울특별시 마포구 도화길 42 (도화동)
충청북도 청주시,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)
경기도 파주시,버디종합동물병원,031-953-1183,경기도 파주시 문산읍 문산역로 77 버디종합동물병원
울산광역시 울주군,범서조은동물병원,052-248-7582,울산광역시 울주군 범서읍 천상중앙길 49 (범서읍)
인천광역시 강화군,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)"
전라북도 완주군,별빛유기동물지킴이,010-4137-1009,전라북도 완주군 용진읍 순지2길 187-6
전라남도 보성군,보성유기동물보호센터,061-850-5403,전라남도 보성군 노동면 노동천동길 209 (노동면) 신천리 71
경상북도 봉화군,봉화군유기동물보호소,054-679-6865,경상북도 봉화군 봉성면 농업인길 24 (봉성면) 봉화군농업기술센터
부산광역시 강서구,부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동)
경기도 부천시,부천시수의사회,032-323-4999,경기도 부천시 길주로 660 (춘의동)
전라남도 영광군,불갑동물임시보호소,010-9188-5525,전라남도 영광군 불갑면 함영로 2758
부산광역시 기장군,사단법인 하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동)
울산광역시 남구,사랑동물병원,052-273-0075,울산광역시 남구 중앙로 165-1 (신정동)
경상남도 사천시,사천시 동물보호센터,055-831-3784,경상남도 사천시 용현면 진삼로 902
경상남도 산청군,산청동물보호센터,010-2050-8577,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍)
강원도 삼척시,삼척시유기동물보호소,010-4373-1899,"강원도 삼척시 근덕면 교곡길 127-281 (근덕면, 쓰레기소각시설) 유기동물보호소"
경상북도 상주시,상주유기동물보호센터,010-2415-2467,경상북도 상주시 청리면 남상주로 1205-59
충청남도 서산시,서산동물병원,041-667-5525,충청남도 서산시 안견로 235 (동문동)
충청남도 서산시,서산시 동물보호센터,041-660-2040,충청남도 서산시 인지면 무학재1길 99
서울특별시 용산구,서울동물복지지원센터,02-2124-2832,서울특별시 마포구 매봉산로 31 (상암동) 지하1층
서울특별시 용산구,서울수의사용산구분회,02-778-7582,서울특별시 용산구 후암동 244-60
충청남도 서천군,서천유기동물보호소,041-950-4388,충청남도 서천군 마산면 한마로 1189-19
서울특별시 서초구,서초동물사랑센터,02-6956-7980,"서울특별시 서초구 양재천로19길 22 (양재동, 숨빌딩) 서초동물사랑센터"
세종특별자치시,세종유기동물보호센터,010-4435-3720,세종특별자치시 전동면 미륵당1길 188 (전동면)
세종특별자치시,세종종합동물병원,044-868-8275,세종특별자치시 조치원읍 새내로 81-2 (조치원읍) 세종종합동물병원
강원도 속초시,속초시유기동물보호소,033-633-2519,강원도 속초시 하도문길 103 (대포동)
경기도 수원시,수원시 동물보호센터,031-228-3557,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10"
전라남도 순천시,순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소"
울산광역시 남구,스마일동물병원,052-277-0075,울산광역시 남구 대학로 112 (무거동)
경기도 파주시,스마일양한방동물병원,031-942-3575,"경기도 파주시 금빛로 44 (금촌동, 마이프라자) 203호"
경기도 안산시,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208 (고잔동) 2층 스타캣츠
경기도 시흥시,시흥시농업기술센터,031-310-2247,"경기도 시흥시 관곡지로 139 (하중동, 생명농업기술센터)"
인천광역시 중구,신공항동물병원,032-751-4598,인천광역시 중구 운중로 33 (운남동)
대구광역시 수성구,신세계동물병원,053-751-6693,대구광역시 수성구 수성동1가 명덕로 393 (수성동1가)
전라남도 신안군,신안유기동물보호센터,010-9678-9966,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍)
충청남도 아산시,아산시동물보호센터,041-533-3563,충청남도 아산시 염치읍 충무로 295-9 (염치읍)
경기도 파주시,야당동물병원,031-948-7579,경기도 파주시 경의로 1100 (야당동) 201호
강원도 양구군,양구,033-480-2911,강원도 양구군 남면 양남로 319-31 (남면) 양구군농업기술센터
경상남도 양산시,양산시유기동물보호소,055-392-5337,경상남도 양산시 동면 석산리 392 양산시농업기술센터
강원도 양양군,양양군유기동물보호소,033-670-2278,강원도 양양군 손양면 동막골길 115-35 (손양면)
경기도 양평군,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59 (양평읍)
서울특별시,엔젤유기동물보호회,02-515-2196,서울특별시 광진구 아차산로40길 71 (자양동) B101호
경상북도 영덕군,영덕유기동물보호센터,054-730-6286,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터
경상북도 포항시,영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍)
경상북도 영주시,영주시 동물보호센터,010-6682-1185,경상북도 영주시 문수면 반구로324번길 135 (문수면) 장수면 반구리 407-8
경상북도 영천시,영천유기동물보호센터,054-339-7175,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터)"
대구광역시 수성구,예스동물병원,053-768-7543,대구광역시 수성구 동대구로 207 (황금동)
경상북도 예천군,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)"
충청북도 옥천군,옥천동물병원,010-8843-8844,"충청북도 옥천군 옥천읍 삼금로 53 (옥천읍, 동물병원) 옥천동물병원"
울산광역시 울주군,와우동물병원,052-225-0075,울산광역시 울주군 언양읍 읍성로 135 (언양읍)
서울특별시 마포구,용강동물병원,02-707-2340,서울특별시 마포구 대흥로 48 (대흥동)
경기도 용인시,용인시 동물보호센터,031-324-3463,"경기도 용인시 처인구 중부대로 1074-1 (삼가동, 용인시 동물보호센터)"
경상북도 군위군,우성동물병원,054-382-1357,경상북도 군위군 군위읍 중앙1길 17 (군위읍)
경상북도 울릉군,울릉군농업기술센터,054-790-6283,"경상북도 울릉군 울릉읍 신리길 68 (울릉읍, 울릉도축장)"
울산광역시 중구,울산동물병원,052-297-0979,울산광역시 중구 학성공원13길 45 (학성동)
울산광역시 중구,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍)
울산광역시 남구,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍)
울산광역시 북구,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144
울산광역시 울주군,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144
경상북도 울진군,울진군동물보호센터,054-789-6795,경상북도 울진군 울진읍 대흥신림로 916-37 [*미고시]
강원도 원주시,원주유기동물보호센터,033-731-1119,강원도 원주시 호저면 칠봉로 110-6
충청남도 금산군,월드동물병원,041-750-2584,충청남도 금산군 금산읍 오리정로 68 월드동물병원
경기도 파주시,웰니스클리닉,031-942-7524,"경기도 파주시 한울로 123 (동패동, 이마트운정점) 2층, 웰니스클리닉"
서울특별시 마포구,웰케어 동물병원,02-337-7575,"서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2"
강원도 고성군,유기견임시보호소,033-680-3724,강원도 고성군 간성읍 꽃내마루길 53-49
부산광역시 사하구,유기동물및동물보호협,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동)
경상북도 안동시,유기동물보호센터,010-7703-1999,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면)
전라남도 여수시,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소"
전라남도 완도군,유기동물임시보호센터,010-3616-6658,전라남도 완도군 신지면 신지로6번길 23-89 (신지면)
충청남도 천안시,유실유기동물보호소,010-8897-5119,충청남도 천안시 동남구 충절로 441 (삼룡동)
서울특별시 노원구,이n김동물병원,02-955-6530,서울특별시 도봉구 마들로 664 (도봉동) 2층
세종특별자치시,이병훈동물병원,044-862-4831,세종특별자치시 조치원읍 장안로 27 (조치원읍)
전라북도 익산시,익산유기동물보호소,010-3659-2380,전라북도 익산시 서동로42길 77 (용제동) 16통 1반
강원도 인제군,인제군유기동물보호소,033-460-2473,강원도 인제군 인제읍 비봉로44번길 105
인천광역시 미추홀구,인천광역시 수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소)"
인천광역시 옹진군,인천수의사회유기동물,032-515-7567,인천광역시 계양구 다남동 35-8
전라남도 장성군,장성군동물보호센터,010-6271-8889,전라남도 장성군 삼서면 대중길 29-27
전라남도 장흥군,장흥군 동물보호센터,061-860-6729,"전라남도 장흥군 안양면 우드랜드길 288 (안양면, 남도국제교육원) 축산사업소"
전라북도 김제시,전북말산업복합센터,063-547-3549,전라북도 김제시 용지면 금백로 571-39 (용지면) 전북말산업복합센터
경상북도 청송군,점곡보호소,010-5139-8617,경상북도 청송군 현동면 청송로 3128-135 (현동면)
전라북도 정읍시,정읍시 동물보호소,063-539-6356,전라북도 정읍시 2산단5길 37-1 (하북동)
울산광역시 북구,정철동물병원,052-287-0348,울산광역시 북구 진장17길 11 (진장동) 정철동물병원
대구광역시 수성구,제니스동물병원,053-756-8293,대구광역시 수성구 달구벌대로 2475 (범어동)
전라북도 장수군,제이준동물병원,010-9800-2212,전라북도 장수군 장계면 한들로 76 제이준동물병원
제주특별자치도,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동)
제주특별자치도 제주시,제주동물보호센터,064-710-4067,제주특별자치도 제주시 첨단동길 184-14 (용강동)
제주특별자치도 서귀포시,제주동물보호센터,064-710-4067,제주특별자치도 제주시 첨단동길 184-14 (용강동)
충청북도 제천시,제천시 동물보호센터,043-647-0059,충청북도 제천시 금성면 적성로8길 51 (금성면)
경상북도 문경시,종합가축병원,054-552-2233,경상북도 문경시 중앙로 170 (흥덕동) 종합가축병원
울산광역시 남구,주동물병원,052-268-8275,울산광역시 남구 돋질로 385-1 (삼산동)
전라남도 진도군,진도개메디컬센터,061-540-6327,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과
경상남도 진주시,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)"
경상남도 창원시 진해구,진해유기동물보호소,055-225-5481,"경상남도 창원시 진해구 웅천로 218 (성내동, 농업기술센터) 205번지"
경상남도 창녕군,창녕 유기동물보호소,010-5488-5003,경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28
경상남도 창원시 의창성산구,창원유기동물보호소,055-225-5481,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과"
강원도 철원군,철원군,033-450-5394,"강원도 철원군 동송읍 장흥로 311 (동송읍, 철원군농업기술센타) 농업기술센터"
경상북도 청도군,청도군동물보호소,054-370-6558,경상북도 청도군 화양읍 청화3길 10 청도군 농업기술센터
충청남도 청양군,청양보호소,041-940-2972,충청남도 청양군 대치면 청산로 446-17 (대치면)
서울특별시 용산구,청화동물병원,02-792-7602,서울특별시 용산구 이태원동 21-1
충청남도 태안군,최동물병원,041-672-0346,충청남도 태안군 태안읍 남문리 504-6
충청북도 보은군,최상오동물병원,043-543-0753,충청북도 보은군 보은읍 보은로 119-1 (보은읍)
충청북도 영동군,최종주동물병원,043-744-4209,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원)"
강원도 춘천시,춘천시 동물보호센터,033-245-5351,강원도 춘천시 신북읍 영서로 3282 (신북읍) (전)102보충대 주차장
충청북도 충주시,충주시동물보호센터,043-851-3168,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면)
울산광역시 북구,쿨펫 홈플러스 북구점,052-286-3567,"울산광역시 북구 신답로 26 (상안동, 홈플러스) 쿨펫동물병원 홈플러스 북구점"
울산광역시 북구,쿨펫동물병원,052-288-7572,"울산광역시 북구 진장유통로 64 (진장동, 롯데마트) 4층 쿨펫동물병원"
경기도 파주시,쿨펫동물병원(문산),031-954-7588,경기도 파주시 문산읍 방촌로 1759 쿨펫동물병원
강원도 태백시,태백유기동물,010-6380-5566,강원도 태백시 문의재로 5 (통동)
경기도 파주시,파주24시동물병원,031-944-5575,경기도 파주시 교하로 87 (목동동) 삼성프라자 201
경기도 파주시,파주365동물의료센터,031-945-5365,경기도 파주시 책향기로 573 (목동동)
경기도 파주시,팻파라다이스,031-942-7583,"경기도 파주시 청암로17번길 17 (목동동, 홈플러스 파주운정점) 2층 17호"
대구광역시 수성구,펫동물병원,053-474-9820,대구광역시 수성구 달구벌대로 3144 (노변동) 펫동물병원
경기도 성남시,펫토피아동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합)"
강원도 평창군,평창군유기동물보호소,010-3397-9150,강원도 평창군 진부면 청송로 61
경기도 평택시,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면)
충청북도 증평군,피학대동물임시보호소,010-2061-9119,충청북도 증평군 증평읍 증안길 83-11
경기도 하남시,하남동물병원,031-793-7802,경기도 하남시 신평로 37 (덕풍동) 하남동물병원
경상남도 하동군,하동군유기동물보호소,055-880-2439,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소
부산광역시 영도구,하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동)
경상남도 의령군,하영효,055-570-4202,경상남도 의령군 의령읍 남강로 485-75
전라남도 함평군,학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1
서울특별시 종로구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 중구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 성동구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 광진구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 동대문구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
서울특별시 중랑구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
서울특별시 성북구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 강북구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 도봉구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 상수리 410-1
서울특별시 노원구,한국동물구조관리협회,031-868-2851,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 은평구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 상수리 410-1
서울특별시 서대문구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 강서구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회
서울특별시 구로구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 상수리 410-1
서울특별시 금천구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 영등포구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37
서울특별시 서초구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
서울특별시 강남구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회
서울특별시 강동구,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (사)한국동물구조관리협회
경기도 하남시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
경기도 양주시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면)
경기도 포천시,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회
경기도 광명시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회
경기도 과천시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) (사)한국야생동물보호협회
경기도 군포시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
경기도 의왕시,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동)
서울특별시 성동구,한빛동물병원,02-2233-1848,서울특별시 성동구 금호산길 63-1 (금호동2가)
